yourlist:M20180510A7434721E10EE6586998A056CCD0537E6A5869E	Entry
ENSG00000002330	Q92934
ENSG00000002549	P28838
ENSG00000003509	Q7L592
ENSG00000004139	Q6SZW1
ENSG00000004142	Q9Y2S7
ENSG00000004455	P54819
ENSG00000004468	P28907
ENSG00000004478	Q02790
ENSG00000004779	O14561
ENSG00000004799	Q16654
ENSG00000004864	Q9UJS0
ENSG00000004961	P53701
ENSG00000005022	P05141
ENSG00000005059	Q9NWR8
ENSG00000005156	P49916
ENSG00000005187	Q53FZ2
ENSG00000005379	O95153
ENSG00000005882	Q15119
ENSG00000006125	P63010
ENSG00000006282	Q8TB22
ENSG00000006530	Q53H12
ENSG00000006695	Q12887
ENSG00000006744	Q9BQ52
ENSG00000006757	P41247
ENSG00000007516	O94812
ENSG00000007923	Q9NVH1
ENSG00000008311	Q9UDR5
ENSG00000008394	P10620
ENSG00000008405	Q16526
ENSG00000010256	P31930
ENSG00000011295	Q6DKK2
ENSG00000011376	Q15031
ENSG00000013306	Q9BZJ4
ENSG00000013583	Q9NRV9
ENSG00000014824	Q6PML9
ENSG00000014919	Q7KZN9
ENSG00000016391	Q8NE62
ENSG00000019186	Q07973
ENSG00000021826	P31327
ENSG00000022267	Q13642
ENSG00000023228	P28331
ENSG00000023330	P13196
ENSG00000023572	Q9NS18
ENSG00000025708	P19971
ENSG00000025772	Q15785
ENSG00000026025	P08670
ENSG00000026652	Q9NRZ5
ENSG00000027001	Q99797
ENSG00000028116	Q86Y07
ENSG00000029639	Q8WVM0
ENSG00000030110	Q16611
ENSG00000033050	Q9UG63
ENSG00000035141	Q96C01
ENSG00000036448	P54296
ENSG00000036473	P00480
ENSG00000039560	Q9P0K7
ENSG00000039650	Q96T60
ENSG00000041988	Q8WTV1
ENSG00000043514	Q9H3H1
ENSG00000044574	P11021
ENSG00000047230	Q9NRF8
ENSG00000048544	P82664
ENSG00000049883	Q8WV60
ENSG00000050393	Q96AQ8
ENSG00000050426	Q6P1Q0
ENSG00000051180	Q06609
ENSG00000053371	O43488
ENSG00000054523	O60333
ENSG00000055950	Q8N983
ENSG00000059573	P54886
ENSG00000059691	O75879
ENSG00000060762	Q9Y5U8
ENSG00000060971	P09110
ENSG00000060982	P54687
ENSG00000061794	P82673
ENSG00000062485	O75390
ENSG00000062582	Q96EL2
ENSG00000063241	Q96AB3
ENSG00000063761	Q86TW2
ENSG00000063854	Q16775
ENSG00000065057	P78549
ENSG00000065060	Q6BDS2
ENSG00000065154	P04181
ENSG00000065427	Q15046
ENSG00000065518	O95168
ENSG00000065911	P13995
ENSG00000066651	Q7Z4G4
ENSG00000066739	Q96BY7
ENSG00000066813	Q68CK6
ENSG00000066855	Q15390
ENSG00000066926	P22830
ENSG00000067177	P46020
ENSG00000067225	P14618
ENSG00000067560	P61586
ENSG00000067704	Q9NSE4
ENSG00000067829	P51553
ENSG00000067992	Q15120
ENSG00000068097	Q6AI08
ENSG00000068120	Q13057
ENSG00000068366	O60488
ENSG00000068615	Q9H902
ENSG00000068784	Q8N5C6
ENSG00000069509	Q8IVP5
ENSG00000069535	P27338
ENSG00000069998	Q9BXW7
ENSG00000070081	P80303
ENSG00000070214	Q8WWI5
ENSG00000072062	P17612
ENSG00000072110	P12814
ENSG00000072133	Q9UK32
ENSG00000072210	P51648
ENSG00000072274	P02786
ENSG00000072506	Q99714
ENSG00000072756	Q96Q11
ENSG00000072778	P49748
ENSG00000073169	Q9BVL4
ENSG00000073578	P31040
ENSG00000074071	P82930
ENSG00000074582	Q9Y276
ENSG00000074695	P49257
ENSG00000074755	O43149
ENSG00000074800	P06733
ENSG00000075035	Q2TBF2
ENSG00000075239	P24752
ENSG00000075240	Q6IC98
ENSG00000075303	Q8TBP6
ENSG00000075336	Q9BVV7
ENSG00000075415	Q00325
ENSG00000075624	P60709
ENSG00000076043	Q9Y3B8
ENSG00000076248	P13051
